goterm	gene	cv	fdr
GO:0042325	PHIP	0.47	0.331
GO:0042325	PRKCA	0.24	0.781
GO:0042325	PRKDC	0.36	0.732
GO:0042325	KIDINS220	0.39	0.81
GO:0042325	SPTAN1	0.31	0.695
GO:0042325	SPTBN1	0.41	0.642
GO:0042325	THBS1	0.83	0
GO:0042325	FZD4	0.32	0.691
GO:0042325	DOCK7	0.35	0.786
GO:0042325	IQGAP1	0.35	0.797
GO:0042325	ROCK2	0.51	0.00105
GO:0051174	EGFR	0.39	0.7
GO:0051174	NF1	0.47	0.588
GO:0051174	PIK3CA	0.36	0.507
GO:0051174	PHIP	0.47	0.331
GO:0051174	PRKCA	0.24	0.781
GO:0051174	PRKDC	0.36	0.732
GO:0051174	KIDINS220	0.39	0.81
GO:0051174	SPTAN1	0.31	0.695
GO:0051174	SPTBN1	0.41	0.642
GO:0051174	THBS1	0.83	0
GO:0051174	FZD4	0.32	0.691
GO:0051174	DOCK7	0.35	0.786
GO:0051174	IQGAP1	0.35	0.797
GO:0051174	ROCK2	0.51	0.00105
GO:0001816	CREBBP	0.39	0.779
GO:0001816	PRKDC	0.36	0.732
GO:0001816	SPTBN1	0.41	0.642
GO:0001816	THBS1	0.83	0
GO:0001816	IQGAP1	0.35	0.797
GO:0001817	CREBBP	0.39	0.779
GO:0001817	PRKDC	0.36	0.732
GO:0001817	SPTBN1	0.41	0.642
GO:0001817	THBS1	0.83	0
GO:0001817	IQGAP1	0.35	0.797
GO:0003012	TMOD2	0.4	0.537
GO:0003012	PIK3CA	0.36	0.507
GO:0003012	PRKCA	0.24	0.781
GO:0003012	TLN1	0.45	0.844
GO:0003012	ROCK2	0.51	0.00105
GO:0006091	FASN	0.55	1.36e-09
GO:0006091	PIK3CA	0.36	0.507
GO:0006091	PRKCA	0.24	0.781
GO:0006091	CACNA1A	0.41	0.38
GO:0006091	IQGAP1	0.35	0.797
GO:0006869	ABCA2	0.35	0.748
GO:0006869	ATP11A	0.23	0.801
GO:0006869	LRP1	0.43	0.107
GO:0006869	THBS1	0.83	0
GO:0006869	FZD4	0.32	0.691
GO:0006897	IGF2R	0.29	0.831
GO:0006897	LRP1	0.43	0.107
GO:0006897	PIK3CA	0.36	0.507
GO:0006897	THBS1	0.83	0
GO:0006897	CBL	0.42	0.623
GO:0006936	TMOD2	0.4	0.537
GO:0006936	PIK3CA	0.36	0.507
GO:0006936	PRKCA	0.24	0.781
GO:0006936	TLN1	0.45	0.844
GO:0006936	ROCK2	0.51	0.00105
GO:0007163	AMOTL1	0.3	0.792
GO:0007163	NUMA1	0.34	0.845
GO:0007163	DOCK7	0.35	0.786
GO:0007163	ROCK2	0.51	0.00105
GO:0007163	CKAP5	0.43	0.527
GO:0010563	NF1	0.47	0.588
GO:0010563	PRKCA	0.24	0.781
GO:0010563	PRKDC	0.36	0.732
GO:0010563	IQGAP1	0.35	0.797
GO:0010563	ROCK2	0.51	0.00105
GO:0015849	SLC7A11	0.35	0.822
GO:0015849	NF1	0.47	0.588
GO:0015849	THBS1	0.83	0
GO:0015849	CACNA1A	0.41	0.38
GO:0015849	SLC38A1	0.48	0.134
GO:0015980	FASN	0.55	1.36e-09
GO:0015980	PIK3CA	0.36	0.507
GO:0015980	PRKCA	0.24	0.781
GO:0015980	CACNA1A	0.41	0.38
GO:0015980	IQGAP1	0.35	0.797
GO:0030855	FLNB	0.39	0.794
GO:0030855	SLC7A11	0.35	0.822
GO:0030855	NUMA1	0.34	0.845
GO:0030855	IQGAP1	0.35	0.797
GO:0030855	ROCK2	0.51	0.00105
GO:0034220	SLC7A11	0.35	0.822
GO:0034220	THBS1	0.83	0
GO:0034220	CACNA1A	0.41	0.38
GO:0034220	SLC38A1	0.48	0.134
GO:0034220	PIEZO1	0.29	0.648
GO:0043405	EGFR	0.39	0.7
GO:0043405	NF1	0.47	0.588
GO:0043405	PRKCA	0.24	0.781
GO:0043405	THBS1	0.83	0
GO:0043405	FZD4	0.32	0.691
GO:0043534	AMOTL1	0.3	0.792
GO:0043534	NR4A1	0.42	0.186
GO:0043534	NF1	0.47	0.588
GO:0043534	PRKCA	0.24	0.781
GO:0043534	THBS1	0.83	0
GO:0043623	CENPF	0.43	0.603
GO:0043623	TMOD2	0.4	0.537
GO:0043623	NUP98	0.65	3.76e-13
GO:0043623	SPTAN1	0.31	0.695
GO:0043623	SPTBN1	0.41	0.642
GO:0044708	EGFR	0.39	0.7
GO:0044708	TMOD2	0.4	0.537
GO:0044708	NF1	0.47	0.588
GO:0044708	THBS1	0.83	0
GO:0044708	CACNA1A	0.41	0.38
GO:0045785	FLNA	0.45	0.728
GO:0045785	PIK3CA	0.36	0.507
GO:0045785	PRKCA	0.24	0.781
GO:0045785	THBS1	0.83	0
GO:0045785	PIEZO1	0.29	0.648
GO:0045936	NF1	0.47	0.588
GO:0045936	PRKCA	0.24	0.781
GO:0045936	PRKDC	0.36	0.732
GO:0045936	IQGAP1	0.35	0.797
GO:0045936	ROCK2	0.51	0.00105
GO:0046942	SLC7A11	0.35	0.822
GO:0046942	NF1	0.47	0.588
GO:0046942	THBS1	0.83	0
GO:0046942	CACNA1A	0.41	0.38
GO:0046942	SLC38A1	0.48	0.134
GO:0048511	CREBBP	0.39	0.779
GO:0048511	PRKDC	0.36	0.732
GO:0048511	NRIP1	0.23	0.79
GO:0048511	FZD4	0.32	0.691
GO:0048511	ROCK2	0.51	0.00105
GO:0050900	LYST	0.31	0.572
GO:0050900	SLC7A11	0.35	0.822
GO:0050900	PIK3CA	0.36	0.507
GO:0050900	PRKCA	0.24	0.781
GO:0050900	THBS1	0.83	0
GO:0060326	LYST	0.31	0.572
GO:0060326	NR4A1	0.42	0.186
GO:0060326	PIK3CA	0.36	0.507
GO:0060326	PRKCA	0.24	0.781
GO:0060326	THBS1	0.83	0
GO:0071407	EGFR	0.39	0.7
GO:0071407	NR4A1	0.42	0.186
GO:0071407	SSH1	0.33	0.713
GO:0071407	NRIP1	0.23	0.79
GO:0071407	ROCK2	0.51	0.00105
GO:0032269	TNRC6A	0.35	0.788
GO:0032269	NF1	0.47	0.588
GO:0032269	UBR5	0.33	0.235
GO:0032269	PRKCA	0.24	0.781
GO:0032269	PRKDC	0.36	0.732
GO:0032269	ROCK2	0.51	0.00105
GO:0009966	AKAP11	0.32	0.686
GO:0009966	CREBBP	0.39	0.779
GO:0009966	EGFR	0.39	0.7
GO:0009966	FBN1	0.31	0.841
GO:0009966	FBN2	0.62	0.00756
GO:0009966	SIPA1L3	0.36	0.774
GO:0009966	FLNA	0.45	0.728
GO:0009966	UBR2	0.35	0.681
GO:0009966	TMOD2	0.4	0.537
GO:0009966	LRP1	0.43	0.107
GO:0009966	NF1	0.47	0.588
GO:0009966	NOTCH2	0.43	0.438
GO:0009966	UBR5	0.33	0.235
GO:0009966	PHIP	0.47	0.331
GO:0009966	PRKCA	0.24	0.781
GO:0009966	KIDINS220	0.39	0.81
GO:0009966	CHD8	0.55	0.000505
GO:0009966	AFAP1	0.28	0.82
GO:0009966	SPTAN1	0.31	0.695
GO:0009966	SPTBN1	0.41	0.642
GO:0009966	THBS1	0.83	0
GO:0009966	FZD4	0.32	0.691
GO:0009966	CBL	0.42	0.623
GO:0009966	USP34	0.29	0.766
GO:0051246	CENPF	0.43	0.603
GO:0051246	COL7A1	1.24	3.41e-35
GO:0051246	EGFR	0.39	0.7
GO:0051246	FLNA	0.45	0.728
GO:0051246	USP24	0.4	0.742
GO:0051246	TNRC6A	0.35	0.788
GO:0051246	NF1	0.47	0.588
GO:0051246	UBR5	0.33	0.235
GO:0051246	PIK3CA	0.36	0.507
GO:0051246	SSH1	0.33	0.713
GO:0051246	PHIP	0.47	0.331
GO:0051246	PRKCA	0.24	0.781
GO:0051246	PRKDC	0.36	0.732
GO:0051246	KIDINS220	0.39	0.81
GO:0051246	SPTAN1	0.31	0.695
GO:0051246	SPTBN1	0.41	0.642
GO:0051246	THBS1	0.83	0
GO:0051246	TPR	0.36	0.709
GO:0051246	USP9X	0.31	0.813
GO:0051246	FZD4	0.32	0.691
GO:0051246	DOCK7	0.35	0.786
GO:0051246	IQGAP1	0.35	0.797
GO:0051246	ROCK2	0.51	0.00105
GO:0051246	USP34	0.29	0.766
GO:0016043	FRY	0.29	0.745
GO:0016043	PRPF8	0.43	0.842
GO:0016043	CENPF	0.43	0.603
GO:0016043	POLQ	0.39	0.211
GO:0016043	ASCC3	0.46	0.617
GO:0016043	CEP250	0.38	0.769
GO:0016043	LYST	0.31	0.572
GO:0016043	COL5A1	0.42	0.654
GO:0016043	COL7A1	1.24	3.41e-35
GO:0016043	CREBBP	0.39	0.779
GO:0016043	VCAN	0.45	0.475
GO:0016043	DYNC1H1	0.54	0.41
GO:0016043	EGFR	0.39	0.7
GO:0016043	FBN1	0.31	0.841
GO:0016043	FBN2	0.62	0.00756
GO:0016043	SCUBE3	0.42	0.752
GO:0016043	FLNA	0.45	0.728
GO:0016043	FLNB	0.39	0.794
GO:0016043	FLNC	0.41	0.84
GO:0016043	PDS5A	0.49	0.486
GO:0016043	ATP11A	0.23	0.801
GO:0016043	UBR2	0.35	0.681
GO:0016043	DNAJC13	0.34	0.806
GO:0016043	TMOD2	0.4	0.537
GO:0016043	TNC	0.45	0.776
GO:0016043	ITGA2	0.37	0.671
GO:0016043	LRP1	0.43	0.107
GO:0016043	MKI67	0.62	0.000134
GO:0016043	MYH10	0.44	0.823
GO:0016043	NF1	0.47	0.588
GO:0016043	NUMA1	0.34	0.845
GO:0016043	NUP98	0.65	3.76e-13
GO:0016043	UBR5	0.33	0.235
GO:0016043	PIK3CA	0.36	0.507
GO:0016043	PLXNA1	0.13	0.836
GO:0016043	SSH1	0.33	0.713
GO:0016043	PHIP	0.47	0.331
GO:0016043	PRKCA	0.24	0.781
GO:0016043	PRKDC	0.36	0.732
GO:0016043	KIDINS220	0.39	0.81
GO:0016043	STARD9	0.29	0.636
GO:0016043	CHD8	0.55	0.000505
GO:0016043	RAB3B	0.41	0.63
GO:0016043	AFAP1	0.28	0.82
GO:0016043	SON	0.38	0.832
GO:0016043	SPTAN1	0.31	0.695
GO:0016043	SPTBN1	0.41	0.642
GO:0016043	BRCA2	0.4	0.424
GO:0016043	THBS1	0.83	0
GO:0016043	TLN1	0.45	0.844
GO:0016043	TPR	0.36	0.709
GO:0016043	CACNA1A	0.41	0.38
GO:0016043	ALMS1	0.45	0.296
GO:0016043	THSD4	0.24	0.815
GO:0016043	USP9X	0.31	0.813
GO:0016043	FZD4	0.32	0.691
GO:0016043	SMARCA5	0.43	0.0787
GO:0016043	DOCK7	0.35	0.786
GO:0016043	CBL	0.42	0.623
GO:0016043	IQGAP1	0.35	0.797
GO:0016043	GTF3C4	0.24	0.755
GO:0016043	ROCK2	0.51	0.00105
GO:0016043	PIEZO1	0.29	0.648
GO:0016043	CKAP5	0.43	0.527
GO:0009628	EGFR	0.39	0.7
GO:0009628	FOSB	0.57	0.00324
GO:0009628	LRP1	0.43	0.107
GO:0009628	PRKCA	0.24	0.781
GO:0009628	PRKDC	0.36	0.732
GO:0009628	BRCA2	0.4	0.424
GO:0009628	PIEZO1	0.29	0.648
GO:0048518	LYST	0.31	0.572
GO:0048518	EGFR	0.39	0.7
GO:0048518	FASN	0.55	1.36e-09
GO:0048518	SIPA1L3	0.36	0.774
GO:0048518	FLNA	0.45	0.728
GO:0048518	FOSB	0.57	0.00324
GO:0048518	TMOD2	0.4	0.537
GO:0048518	NR4A1	0.42	0.186
GO:0048518	TNC	0.45	0.776
GO:0048518	LRP1	0.43	0.107
GO:0048518	NF1	0.47	0.588
GO:0048518	NOTCH2	0.43	0.438
GO:0048518	UBR5	0.33	0.235
GO:0048518	PIK3CA	0.36	0.507
GO:0048518	PHIP	0.47	0.331
GO:0048518	CHD8	0.55	0.000505
GO:0048518	RAB3B	0.41	0.63
GO:0048518	SPTAN1	0.31	0.695
GO:0048518	BRCA2	0.4	0.424
GO:0048518	TPR	0.36	0.709
GO:0048518	NRIP1	0.23	0.79
GO:0048518	FZD4	0.32	0.691
GO:0048518	DOCK7	0.35	0.786
GO:0048518	HELZ2	0.39	0.546
GO:0048518	CBL	0.42	0.623
GO:0048518	IQGAP1	0.35	0.797
GO:0048518	HERC2	0.42	0.596
GO:0048518	MED14	0.45	0.364
GO:0048518	GTF3C4	0.24	0.755
GO:0048518	USP34	0.29	0.766
GO:0048518	PIEZO1	0.29	0.648
GO:0006935	LYST	0.31	0.572
GO:0006935	COL5A1	0.42	0.654
GO:0006935	EGFR	0.39	0.7
GO:0006935	NR4A1	0.42	0.186
GO:0006935	ITGA2	0.37	0.671
GO:0006935	MYH10	0.44	0.823
GO:0006935	NF1	0.47	0.588
GO:0006935	PIK3CA	0.36	0.507
GO:0006935	PLXNA1	0.13	0.836
GO:0006935	PRKCA	0.24	0.781
GO:0006935	SPTAN1	0.31	0.695
GO:0006935	SPTBN1	0.41	0.642
GO:0006935	THBS1	0.83	0
GO:0006935	TLN1	0.45	0.844
GO:0006935	ROCK2	0.51	0.00105
GO:0010558	CENPF	0.43	0.603
GO:0010558	CREBBP	0.39	0.779
GO:0010558	FLNA	0.45	0.728
GO:0010558	PDS5A	0.49	0.486
GO:0010558	UBR2	0.35	0.681
GO:0010558	CBX5	0.39	0.396
GO:0010558	FOSB	0.57	0.00324
GO:0010558	TNRC6A	0.35	0.788
GO:0010558	HIVEP1	0.37	0.704
GO:0010558	CHD8	0.55	0.000505
GO:0010558	BRCA2	0.4	0.424
GO:0010558	TPR	0.36	0.709
GO:0010558	NRIP1	0.23	0.79
GO:0010558	USP9X	0.31	0.813
GO:0010558	SMARCA5	0.43	0.0787
GO:0042330	LYST	0.31	0.572
GO:0042330	COL5A1	0.42	0.654
GO:0042330	EGFR	0.39	0.7
GO:0042330	NR4A1	0.42	0.186
GO:0042330	ITGA2	0.37	0.671
GO:0042330	MYH10	0.44	0.823
GO:0042330	NF1	0.47	0.588
GO:0042330	PIK3CA	0.36	0.507
GO:0042330	PLXNA1	0.13	0.836
GO:0042330	PRKCA	0.24	0.781
GO:0042330	SPTAN1	0.31	0.695
GO:0042330	SPTBN1	0.41	0.642
GO:0042330	THBS1	0.83	0
GO:0042330	TLN1	0.45	0.844
GO:0042330	ROCK2	0.51	0.00105
GO:0045935	CREBBP	0.39	0.779
GO:0045935	EGFR	0.39	0.7
GO:0045935	FOSB	0.57	0.00324
GO:0045935	NR4A1	0.42	0.186
GO:0045935	NF1	0.47	0.588
GO:0045935	PHIP	0.47	0.331
GO:0045935	PRKCA	0.24	0.781
GO:0045935	PRKDC	0.36	0.732
GO:0045935	CHD8	0.55	0.000505
GO:0045935	BRCA2	0.4	0.424
GO:0045935	TPR	0.36	0.709
GO:0045935	NRIP1	0.23	0.79
GO:0045935	FZD4	0.32	0.691
GO:0045935	HELZ2	0.39	0.546
GO:0045935	MED14	0.45	0.364
GO:1901698	EGFR	0.39	0.7
GO:1901698	FBN1	0.31	0.841
GO:1901698	UBR2	0.35	0.681
GO:1901698	FOSB	0.57	0.00324
GO:1901698	SLC7A11	0.35	0.822
GO:1901698	NR4A1	0.42	0.186
GO:1901698	NF1	0.47	0.588
GO:1901698	PIK3CA	0.36	0.507
GO:1901698	SSH1	0.33	0.713
GO:1901698	PHIP	0.47	0.331
GO:1901698	PRKCA	0.24	0.781
GO:1901698	PRKDC	0.36	0.732
GO:1901698	SPTAN1	0.31	0.695
GO:1901698	SPTBN1	0.41	0.642
GO:1901698	THBS1	0.83	0
GO:2000113	CENPF	0.43	0.603
GO:2000113	CREBBP	0.39	0.779
GO:2000113	FLNA	0.45	0.728
GO:2000113	PDS5A	0.49	0.486
GO:2000113	UBR2	0.35	0.681
GO:2000113	CBX5	0.39	0.396
GO:2000113	FOSB	0.57	0.00324
GO:2000113	TNRC6A	0.35	0.788
GO:2000113	HIVEP1	0.37	0.704
GO:2000113	CHD8	0.55	0.000505
GO:2000113	BRCA2	0.4	0.424
GO:2000113	TPR	0.36	0.709
GO:2000113	NRIP1	0.23	0.79
GO:2000113	USP9X	0.31	0.813
GO:2000113	SMARCA5	0.43	0.0787
GO:0071840	FRY	0.29	0.745
GO:0071840	PRPF8	0.43	0.842
GO:0071840	CENPF	0.43	0.603
GO:0071840	POLQ	0.39	0.211
GO:0071840	ASCC3	0.46	0.617
GO:0071840	CEP250	0.38	0.769
GO:0071840	LYST	0.31	0.572
GO:0071840	COL5A1	0.42	0.654
GO:0071840	COL7A1	1.24	3.41e-35
GO:0071840	CREBBP	0.39	0.779
GO:0071840	VCAN	0.45	0.475
GO:0071840	DYNC1H1	0.54	0.41
GO:0071840	EGFR	0.39	0.7
GO:0071840	FBN1	0.31	0.841
GO:0071840	FBN2	0.62	0.00756
GO:0071840	SCUBE3	0.42	0.752
GO:0071840	FLNA	0.45	0.728
GO:0071840	FLNB	0.39	0.794
GO:0071840	FLNC	0.41	0.84
GO:0071840	PDS5A	0.49	0.486
GO:0071840	ATP11A	0.23	0.801
GO:0071840	UBR2	0.35	0.681
GO:0071840	DNAJC13	0.34	0.806
GO:0071840	DIEXF	0.36	0.497
GO:0071840	TMOD2	0.4	0.537
GO:0071840	TNC	0.45	0.776
GO:0071840	ITGA2	0.37	0.671
GO:0071840	LRP1	0.43	0.107
GO:0071840	MKI67	0.62	0.000134
GO:0071840	MYH10	0.44	0.823
GO:0071840	NF1	0.47	0.588
GO:0071840	NUMA1	0.34	0.845
GO:0071840	NUP98	0.65	3.76e-13
GO:0071840	UBR5	0.33	0.235
GO:0071840	PIK3CA	0.36	0.507
GO:0071840	PLXNA1	0.13	0.836
GO:0071840	SSH1	0.33	0.713
GO:0071840	PHIP	0.47	0.331
GO:0071840	PRKCA	0.24	0.781
GO:0071840	PRKDC	0.36	0.732
GO:0071840	KIDINS220	0.39	0.81
GO:0071840	STARD9	0.29	0.636
GO:0071840	CHD8	0.55	0.000505
GO:0071840	RAB3B	0.41	0.63
GO:0071840	AFAP1	0.28	0.82
GO:0071840	SON	0.38	0.832
GO:0071840	SPTAN1	0.31	0.695
GO:0071840	SPTBN1	0.41	0.642
GO:0071840	BRCA2	0.4	0.424
GO:0071840	THBS1	0.83	0
GO:0071840	TLN1	0.45	0.844
GO:0071840	TPR	0.36	0.709
GO:0071840	CACNA1A	0.41	0.38
GO:0071840	ALMS1	0.45	0.296
GO:0071840	THSD4	0.24	0.815
GO:0071840	USP9X	0.31	0.813
GO:0071840	FZD4	0.32	0.691
GO:0071840	SMARCA5	0.43	0.0787
GO:0071840	DOCK7	0.35	0.786
GO:0071840	CBL	0.42	0.623
GO:0071840	IQGAP1	0.35	0.797
GO:0071840	GTF3C4	0.24	0.755
GO:0071840	ROCK2	0.51	0.00105
GO:0071840	PIEZO1	0.29	0.648
GO:0071840	CKAP5	0.43	0.527
GO:0007154	CENPF	0.43	0.603
GO:0007154	AKAP11	0.32	0.686
GO:0007154	CREBBP	0.39	0.779
GO:0007154	AMOTL1	0.3	0.792
GO:0007154	EGFR	0.39	0.7
GO:0007154	FBN1	0.31	0.841
GO:0007154	FBN2	0.62	0.00756
GO:0007154	SIPA1L3	0.36	0.774
GO:0007154	FLNA	0.45	0.728
GO:0007154	FLNB	0.39	0.794
GO:0007154	UBR2	0.35	0.681
GO:0007154	TNRC6A	0.35	0.788
GO:0007154	ARL10	0.36	0.61
GO:0007154	TMOD2	0.4	0.537
GO:0007154	HIVEP1	0.37	0.704
GO:0007154	HIVEP2	0.47	0.724
GO:0007154	NR4A1	0.42	0.186
GO:0007154	TNC	0.45	0.776
GO:0007154	IGF2R	0.29	0.831
GO:0007154	ITGA2	0.37	0.671
GO:0007154	KPNA4	0.32	0.58
GO:0007154	LRP1	0.43	0.107
GO:0007154	MYH10	0.44	0.823
GO:0007154	NF1	0.47	0.588
GO:0007154	NOTCH2	0.43	0.438
GO:0007154	NUP98	0.65	3.76e-13
GO:0007154	UBR5	0.33	0.235
GO:0007154	PIK3CA	0.36	0.507
GO:0007154	PLXNA1	0.13	0.836
GO:0007154	PHIP	0.47	0.331
GO:0007154	PRKCA	0.24	0.781
GO:0007154	PRKDC	0.36	0.732
GO:0007154	KIDINS220	0.39	0.81
GO:0007154	CHD8	0.55	0.000505
GO:0007154	RAB3B	0.41	0.63
GO:0007154	AFAP1	0.28	0.82
GO:0007154	SPTAN1	0.31	0.695
GO:0007154	SPTBN1	0.41	0.642
GO:0007154	BRCA2	0.4	0.424
GO:0007154	TEAD1	0.61	0
GO:0007154	THBS1	0.83	0
GO:0007154	TLN1	0.45	0.844
GO:0007154	TPR	0.36	0.709
GO:0007154	CACNA1A	0.41	0.38
GO:0007154	SLC38A1	0.48	0.134
GO:0007154	NRIP1	0.23	0.79
GO:0007154	USP9X	0.31	0.813
GO:0007154	FZD4	0.32	0.691
GO:0007154	DOCK7	0.35	0.786
GO:0007154	CBL	0.42	0.623
GO:0007154	IQGAP1	0.35	0.797
GO:0007154	MED14	0.45	0.364
GO:0007154	ROCK2	0.51	0.00105
GO:0007154	USP34	0.29	0.766
GO:0007154	CKAP5	0.43	0.527
GO:0023052	CENPF	0.43	0.603
GO:0023052	AKAP11	0.32	0.686
GO:0023052	CREBBP	0.39	0.779
GO:0023052	AMOTL1	0.3	0.792
GO:0023052	EGFR	0.39	0.7
GO:0023052	FBN1	0.31	0.841
GO:0023052	FBN2	0.62	0.00756
GO:0023052	SIPA1L3	0.36	0.774
GO:0023052	FLNA	0.45	0.728
GO:0023052	FLNB	0.39	0.794
GO:0023052	UBR2	0.35	0.681
GO:0023052	TNRC6A	0.35	0.788
GO:0023052	ARL10	0.36	0.61
GO:0023052	TMOD2	0.4	0.537
GO:0023052	HIVEP1	0.37	0.704
GO:0023052	HIVEP2	0.47	0.724
GO:0023052	NR4A1	0.42	0.186
GO:0023052	TNC	0.45	0.776
GO:0023052	IGF2R	0.29	0.831
GO:0023052	ITGA2	0.37	0.671
GO:0023052	KPNA4	0.32	0.58
GO:0023052	LRP1	0.43	0.107
GO:0023052	MYH10	0.44	0.823
GO:0023052	NF1	0.47	0.588
GO:0023052	NOTCH2	0.43	0.438
GO:0023052	NUP98	0.65	3.76e-13
GO:0023052	UBR5	0.33	0.235
GO:0023052	PIK3CA	0.36	0.507
GO:0023052	PLXNA1	0.13	0.836
GO:0023052	PHIP	0.47	0.331
GO:0023052	PRKCA	0.24	0.781
GO:0023052	PRKDC	0.36	0.732
GO:0023052	KIDINS220	0.39	0.81
GO:0023052	CHD8	0.55	0.000505
GO:0023052	RAB3B	0.41	0.63
GO:0023052	AFAP1	0.28	0.82
GO:0023052	SPTAN1	0.31	0.695
GO:0023052	SPTBN1	0.41	0.642
GO:0023052	BRCA2	0.4	0.424
GO:0023052	TEAD1	0.61	0
GO:0023052	THBS1	0.83	0
GO:0023052	TLN1	0.45	0.844
GO:0023052	TPR	0.36	0.709
GO:0023052	CACNA1A	0.41	0.38
GO:0023052	SLC38A1	0.48	0.134
GO:0023052	NRIP1	0.23	0.79
GO:0023052	USP9X	0.31	0.813
GO:0023052	FZD4	0.32	0.691
GO:0023052	DOCK7	0.35	0.786
GO:0023052	CBL	0.42	0.623
GO:0023052	IQGAP1	0.35	0.797
GO:0023052	MED14	0.45	0.364
GO:0023052	ROCK2	0.51	0.00105
GO:0023052	USP34	0.29	0.766
GO:0023052	CKAP5	0.43	0.527
GO:0044700	CENPF	0.43	0.603
GO:0044700	AKAP11	0.32	0.686
GO:0044700	CREBBP	0.39	0.779
GO:0044700	AMOTL1	0.3	0.792
GO:0044700	EGFR	0.39	0.7
GO:0044700	FBN1	0.31	0.841
GO:0044700	FBN2	0.62	0.00756
GO:0044700	SIPA1L3	0.36	0.774
GO:0044700	FLNA	0.45	0.728
GO:0044700	FLNB	0.39	0.794
GO:0044700	UBR2	0.35	0.681
GO:0044700	TNRC6A	0.35	0.788
GO:0044700	ARL10	0.36	0.61
GO:0044700	TMOD2	0.4	0.537
GO:0044700	HIVEP1	0.37	0.704
GO:0044700	HIVEP2	0.47	0.724
GO:0044700	NR4A1	0.42	0.186
GO:0044700	TNC	0.45	0.776
GO:0044700	IGF2R	0.29	0.831
GO:0044700	ITGA2	0.37	0.671
GO:0044700	KPNA4	0.32	0.58
GO:0044700	LRP1	0.43	0.107
GO:0044700	MYH10	0.44	0.823
GO:0044700	NF1	0.47	0.588
GO:0044700	NOTCH2	0.43	0.438
GO:0044700	NUP98	0.65	3.76e-13
GO:0044700	UBR5	0.33	0.235
GO:0044700	PIK3CA	0.36	0.507
GO:0044700	PLXNA1	0.13	0.836
GO:0044700	PHIP	0.47	0.331
GO:0044700	PRKCA	0.24	0.781
GO:0044700	PRKDC	0.36	0.732
GO:0044700	KIDINS220	0.39	0.81
GO:0044700	CHD8	0.55	0.000505
GO:0044700	RAB3B	0.41	0.63
GO:0044700	AFAP1	0.28	0.82
GO:0044700	SPTAN1	0.31	0.695
GO:0044700	SPTBN1	0.41	0.642
GO:0044700	BRCA2	0.4	0.424
GO:0044700	TEAD1	0.61	0
GO:0044700	THBS1	0.83	0
GO:0044700	TLN1	0.45	0.844
GO:0044700	TPR	0.36	0.709
GO:0044700	CACNA1A	0.41	0.38
GO:0044700	SLC38A1	0.48	0.134
GO:0044700	NRIP1	0.23	0.79
GO:0044700	USP9X	0.31	0.813
GO:0044700	FZD4	0.32	0.691
GO:0044700	DOCK7	0.35	0.786
GO:0044700	CBL	0.42	0.623
GO:0044700	IQGAP1	0.35	0.797
GO:0044700	MED14	0.45	0.364
GO:0044700	ROCK2	0.51	0.00105
GO:0044700	USP34	0.29	0.766
GO:0044700	CKAP5	0.43	0.527
GO:0019538	CENPF	0.43	0.603
GO:0019538	MAN1A2	0.31	0.771
GO:0019538	ALPK2	0.29	0.828
GO:0019538	COL7A1	1.24	3.41e-35
GO:0019538	CREBBP	0.39	0.779
GO:0019538	VCAN	0.45	0.475
GO:0019538	EGFR	0.39	0.7
GO:0019538	LMTK2	0.32	0.735
GO:0019538	FLNA	0.45	0.728
GO:0019538	UBR2	0.35	0.681
GO:0019538	USP24	0.4	0.742
GO:0019538	RNF169	0.37	0.721
GO:0019538	TNRC6A	0.35	0.788
GO:0019538	LRP1	0.43	0.107
GO:0019538	NF1	0.47	0.588
GO:0019538	NKTR	0.36	0.717
GO:0019538	NOTCH2	0.43	0.438
GO:0019538	NUP98	0.65	3.76e-13
GO:0019538	PAPPA	1.1	0
GO:0019538	UBR5	0.33	0.235
GO:0019538	PIK3CA	0.36	0.507
GO:0019538	SSH1	0.33	0.713
GO:0019538	PHIP	0.47	0.331
GO:0019538	PRKCA	0.24	0.781
GO:0019538	PRKDC	0.36	0.732
GO:0019538	KIDINS220	0.39	0.81
GO:0019538	PTPN14	0.38	0.818
GO:0019538	RAB3B	0.41	0.63
GO:0019538	SPTAN1	0.31	0.695
GO:0019538	SPTBN1	0.41	0.642
GO:0019538	BRCA2	0.4	0.424
GO:0019538	THBS1	0.83	0
GO:0019538	TLN1	0.45	0.844
GO:0019538	TPR	0.36	0.709
GO:0019538	THSD4	0.24	0.815
GO:0019538	USP9X	0.31	0.813
GO:0019538	FZD4	0.32	0.691
GO:0019538	DOCK7	0.35	0.786
GO:0019538	CBL	0.42	0.623
GO:0019538	IQGAP1	0.35	0.797
GO:0019538	HERC2	0.42	0.596
GO:0019538	DSEL	0.3	0.833
GO:0019538	GTF3C4	0.24	0.755
GO:0019538	ROCK2	0.51	0.00105
GO:0019538	USP34	0.29	0.766
GO:0090304	PRPF8	0.43	0.842
GO:0090304	CENPF	0.43	0.603
GO:0090304	POLQ	0.39	0.211
GO:0090304	ASCC3	0.46	0.617
GO:0090304	CREBBP	0.39	0.779
GO:0090304	EGFR	0.39	0.7
GO:0090304	ZFC3H1	0.34	0.76
GO:0090304	ABCA2	0.35	0.748
