feat	diff_pep	diff_fdr	diff_bf	cv_ev	cv_sd	cv_map	cv_ci_lower	cv_ci_upper
FNIP1	1.00e0	9.97e-1	2.72	0.23	0.09	0.32	0.08	0.38
NUP155	1.00e0	9.97e-1	2.72	0.26	0.08	0.33	0.12	0.40
ABCC10	1.00e0	9.97e-1	2.72	0.20	0.10	0.27	0.04	0.39
TWISTNB	1.00e0	9.97e-1	2.72	0.20	0.10	0.35	0.02	0.38
KIAA2026	1.00e0	9.97e-1	2.72	0.19	0.11	0.04	0.03	0.40
CLOCK	1.00e0	9.97e-1	2.72	0.25	0.05	0.26	0.16	0.34
MAP3K14	1.00e0	9.97e-1	2.72	0.16	0.09	0.06	0.02	0.37
LPIN3	1.00e0	9.97e-1	2.72	0.18	0.10	0.04	0.00	0.37
TPR	1.00e0	9.97e-1	2.72	0.19	0.03	0.22	0.14	0.24
BRWD1	1.00e0	9.97e-1	2.72	0.20	0.09	0.03	0.00	0.36
UNC119B	1.00e0	9.97e-1	2.72	0.30	0.05	0.35	0.20	0.40
C10orf54	1.00e0	9.97e-1	2.72	0.18	0.09	0.04	0.02	0.34
PI4KA	1.00e0	9.97e-1	2.72	0.25	0.02	0.25	0.21	0.30
HEATR5B	1.00e0	9.97e-1	2.72	0.24	0.08	0.35	0.08	0.38
LIG3	1.00e0	9.97e-1	2.72	0.22	0.07	0.23	0.10	0.36
SON	1.00e0	9.97e-1	2.72	0.29	0.02	0.29	0.24	0.33
TONSL	1.00e0	9.97e-1	2.72	0.21	0.10	0.29	0.03	0.39
BAG5	1.00e0	9.97e-1	2.72	0.18	0.10	0.02	0.00	0.35
PLCB3	1.00e0	9.97e-1	2.72	0.26	0.02	0.26	0.22	0.32
IGHMBP2	1.00e0	9.97e-1	2.72	0.22	0.11	0.33	0.02	0.39
DDX60	1.00e0	9.97e-1	2.72	0.18	0.09	0.14	0.03	0.36
URGCP	1.00e0	9.97e-1	2.72	0.21	0.09	0.27	0.06	0.36
ZBTB41	1.00e0	9.97e-1	2.72	0.19	0.09	0.06	0.05	0.34
FAM26E	1.00e0	9.97e-1	2.72	0.21	0.09	0.31	0.09	0.38
SLC2A12	1.00e0	9.97e-1	2.72	0.17	0.10	0.03	0.00	0.35
USP9X	1.00e0	9.97e-1	2.72	0.27	0.02	0.27	0.22	0.31
PTPN23	1.00e0	9.97e-1	2.72	0.18	0.08	0.04	0.03	0.37
FEM1C	1.00e0	9.97e-1	2.72	0.20	0.09	0.27	0.03	0.38
HPS5	1.00e0	9.97e-1	2.72	0.18	0.08	0.08	0.03	0.33
ETV3	1.00e0	9.97e-1	2.72	0.22	0.10	0.33	0.06	0.37
RALGAPA1P	1.00e0	9.97e-1	2.72	0.19	0.09	0.10	0.04	0.40
GLTSCR1L	1.00e0	9.97e-1	2.72	0.19	0.10	0.06	0.03	0.39
NPR2	1.00e0	9.97e-1	2.72	0.19	0.08	0.25	0.05	0.33
BLM	1.00e0	9.97e-1	2.72	0.19	0.10	0.34	0.04	0.36
ZSCAN20	1.00e0	9.97e-1	2.72	0.18	0.10	0.07	0.03	0.39
DTX4	1.00e0	9.98e-1	2.72	0.22	0.09	0.30	0.06	0.37
MPDZ	1.00e0	9.98e-1	2.72	0.23	0.04	0.25	0.16	0.33
blank004	1.00e0	9.98e-1	2.72	0.22	0.11	0.41	0.06	0.42
blank005	1.00e0	9.98e-1	2.72	0.18	0.11	0.03	0.00	0.37
ANKRD32	1.00e0	9.98e-1	2.72	0.21	0.10	0.26	0.06	0.40
MAP7D3	1.00e0	9.98e-1	2.72	0.23	0.08	0.26	0.10	0.39
ERMAP	1.00e0	9.98e-1	2.72	0.17	0.09	0.11	0.04	0.36
ZNF783	1.00e0	9.98e-1	2.72	0.18	0.11	0.31	0.03	0.40
ST3GAL2	1.00e0	9.98e-1	2.72	0.19	0.09	0.28	0.04	0.38
blank006	1.00e0	9.98e-1	2.72	0.22	0.09	0.32	0.07	0.38
SLC24A1	1.00e0	9.98e-1	2.72	0.20	0.09	0.29	0.05	0.36
TMEM260	1.00e0	9.98e-1	2.72	0.19	0.10	0.02	0.00	0.37
NIPAL2	1.00e0	9.98e-1	2.72	0.18	0.10	0.10	0.03	0.35
RHOBTB2	1.00e0	9.98e-1	2.72	0.23	0.07	0.32	0.11	0.37
FZD4	1.00e0	9.98e-1	2.72	0.18	0.11	0.02	0.00	0.38
USP24	1.00e0	9.98e-1	2.72	0.22	0.08	0.32	0.09	0.34
ITGA11	1.00e0	9.98e-1	2.72	0.18	0.10	0.02	0.00	0.35
FAM8A1	1.00e0	9.98e-1	2.72	0.18	0.10	0.02	0.00	0.36
FYCO1	1.00e0	9.98e-1	2.72	0.24	0.07	0.18	0.15	0.39
C16orf72	1.00e0	9.98e-1	2.72	0.19	0.09	0.31	0.03	0.36
UBR3	1.00e0	9.98e-1	2.72	0.18	0.10	0.02	0.00	0.37
ASAP3	1.00e0	9.98e-1	2.72	0.24	0.09	0.38	0.10	0.41
ESCO1	1.00e0	9.98e-1	2.72	0.17	0.08	0.26	0.04	0.34
MORC3	1.00e0	9.98e-1	2.72	0.18	0.08	0.06	0.03	0.34
AKAP13	1.00e0	9.98e-1	2.72	0.21	0.09	0.31	0.08	0.37
HIPK1	1.00e0	9.98e-1	2.72	0.25	0.07	0.18	0.15	0.38
TTL	1.00e0	9.98e-1	2.72	0.23	0.08	0.31	0.11	0.39
MCM9	1.00e0	9.98e-1	2.72	0.19	0.09	0.24	0.00	0.35
AKAP9	1.00e0	9.98e-1	2.72	0.19	0.10	0.35	0.02	0.36
C12orf4	1.00e0	9.98e-1	2.72	0.23	0.10	0.30	0.04	0.41
EXOC6B	1.00e0	9.98e-1	2.72	0.18	0.10	0.08	0.03	0.40
NFAT5	1.00e0	9.98e-1	2.72	0.27	0.03	0.25	0.21	0.34
ZBTB21	1.00e0	9.98e-1	2.72	0.22	0.09	0.29	0.05	0.36
RCOR1	1.00e0	9.98e-1	2.72	0.16	0.10	0.04	0.00	0.36
PINK1-AS	1.00e0	9.98e-1	2.72	0.18	0.10	0.04	0.00	0.35
ABCA1	1.00e0	9.98e-1	2.72	0.19	0.07	0.28	0.06	0.33
KLF9	1.00e0	9.98e-1	2.72	0.17	0.09	0.10	0.00	0.34
LRRC8C	1.00e0	9.98e-1	2.72	0.21	0.11	0.29	0.03	0.40
UBL3	1.00e0	9.98e-1	2.72	0.23	0.09	0.29	0.08	0.38
ARL3	1.00e0	9.98e-1	2.72	0.21	0.10	0.32	0.04	0.39
MCUR1	1.00e0	9.98e-1	2.72	0.26	0.06	0.25	0.16	0.38
AHCTF1P1	1.00e0	9.98e-1	2.72	0.19	0.09	0.06	0.00	0.35
VPS13C	1.00e0	9.98e-1	2.72	0.17	0.08	0.21	0.04	0.34
PCNXL3	1.00e0	9.98e-1	2.72	0.19	0.07	0.27	0.08	0.33
ARFGEF1	1.00e0	9.98e-1	2.72	0.20	0.10	0.24	0.03	0.37
VCAN	1.00e0	9.98e-1	2.72	0.23	0.02	0.23	0.18	0.28
ZNF549	1.00e0	9.98e-1	2.72	0.18	0.09	0.30	0.04	0.34
ITGA6	1.00e0	9.98e-1	2.72	0.17	0.10	0.03	0.00	0.37
ELF4	1.00e0	9.98e-1	2.72	0.27	0.05	0.28	0.18	0.37
SLC12A2	1.00e0	9.98e-1	2.72	0.18	0.11	0.31	0.02	0.37
ARID4A	1.00e0	9.98e-1	2.72	0.22	0.06	0.29	0.12	0.33
DIEXF	1.00e0	9.98e-1	2.72	0.17	0.07	0.05	0.00	0.30
PIGM	1.00e0	9.98e-1	2.72	0.22	0.08	0.31	0.08	0.38
GID4	1.00e0	9.98e-1	2.72	0.22	0.08	0.29	0.07	0.37
HELZ2	1.00e0	9.98e-1	2.72	0.20	0.10	0.31	0.04	0.37
PRKDC	1.00e0	9.98e-1	2.72	0.16	0.04	0.16	0.10	0.23
KIAA0355	1.00e0	9.98e-1	2.72	0.17	0.09	0.03	0.02	0.35
SCUBE3	1.00e0	9.98e-1	2.72	0.18	0.06	0.19	0.07	0.29
SEMA5A	1.00e0	9.98e-1	2.72	0.19	0.09	0.32	0.06	0.33
ARHGAP20	1.00e0	9.98e-1	2.72	0.17	0.09	0.06	0.00	0.35
FBXO45	1.00e0	9.98e-1	2.72	0.17	0.10	0.23	0.02	0.38
PDCD11	1.00e0	9.98e-1	2.72	0.20	0.08	0.33	0.08	0.36
JAG1	1.00e0	9.98e-1	2.72	0.18	0.08	0.04	0.00	0.32
SIPA1L3	1.00e0	9.98e-1	2.72	0.20	0.06	0.18	0.10	0.34
SH2D5	1.00e0	9.98e-1	2.72	0.19	0.09	0.09	0.03	0.36
ADNP	1.00e0	9.98e-1	2.72	0.20	0.07	0.21	0.08	0.32
SLC41A2	1.00e0	9.98e-1	2.72	0.19	0.10	0.27	0.03	0.41
CBX5	1.00e0	9.98e-1	2.72	0.23	0.05	0.19	0.15	0.34
LPIN1	1.00e0	9.98e-1	2.72	0.17	0.08	0.05	0.02	0.31
C10orf118	1.00e0	9.98e-1	2.72	0.18	0.11	0.03	0.00	0.39
BAIAP2L1	1.00e0	9.98e-1	2.72	0.17	0.09	0.05	0.03	0.32
AQR	1.00e0	9.98e-1	2.72	0.18	0.09	0.03	0.00	0.37
NHLRC2	1.00e0	9.98e-1	2.72	0.22	0.10	0.24	0.05	0.41
ZC3H13	1.00e0	9.98e-1	2.72	0.29	0.02	0.27	0.24	0.34
SFXN5	1.00e0	9.98e-1	2.72	0.21	0.09	0.27	0.06	0.35
CEP192	1.00e0	9.98e-1	2.72	0.20	0.09	0.31	0.05	0.39
TMEM194A	1.00e0	9.98e-1	2.72	0.20	0.09	0.23	0.03	0.37
HMCN1	1.00e0	9.98e-1	2.72	0.21	0.10	0.31	0.04	0.36
YEATS2	1.00e0	9.98e-1	2.72	0.24	0.08	0.17	0.14	0.40
CBL	1.00e0	9.98e-1	2.72	0.19	0.10	0.06	0.00	0.38
TULP4	1.00e0	9.98e-1	2.72	0.23	0.09	0.33	0.07	0.38
DGKQ	1.00e0	9.98e-1	2.72	0.21	0.10	0.33	0.02	0.38
TMOD2	1.00e0	9.98e-1	2.72	0.23	0.09	0.32	0.07	0.38
NFX1	1.00e0	9.98e-1	2.72	0.20	0.07	0.30	0.08	0.34
SIDT2	1.00e0	9.98e-1	2.72	0.16	0.09	0.02	0.00	0.36
FGD1	1.00e0	9.98e-1	2.72	0.21	0.06	0.31	0.12	0.34
KIAA2018	1.00e0	9.98e-1	2.72	0.20	0.10	0.27	0.04	0.37
MYBBP1A	1.00e0	9.98e-1	2.72	0.16	0.07	0.11	0.05	0.31
WDR55	1.00e0	9.98e-1	2.72	0.18	0.09	0.27	0.04	0.37
MTMR4	1.00e0	9.98e-1	2.72	0.23	0.08	0.27	0.09	0.37
PHF20	1.00e0	9.98e-1	2.72	0.18	0.09	0.04	0.00	0.35
ZSCAN29	1.00e0	9.98e-1	2.72	0.18	0.09	0.04	0.02	0.35
FAM13A	1.00e0	9.98e-1	2.72	0.21	0.04	0.19	0.14	0.30
CENPF	1.00e0	9.98e-1	2.72	0.18	0.09	0.27	0.05	0.35
EHBP1L1	1.00e0	9.98e-1	2.72	0.27	0.03	0.26	0.22	0.34
TRIM35	1.00e0	9.98e-1	2.72	0.22	0.06	0.27	0.09	0.32
CREBBP	1.00e0	9.98e-1	2.72	0.27	0.06	0.35	0.17	0.38
SKIV2L	1.00e0	9.98e-1	2.72	0.16	0.09	0.04	0.00	0.33
MON2	1.00e0	9.98e-1	2.72	0.19	0.10	0.04	0.00	0.37
C14orf132	1.00e0	9.98e-1	2.72	0.21	0.06	0.18	0.10	0.34
CLSPN	1.00e0	9.98e-1	2.72	0.19	0.09	0.28	0.00	0.35
CRNKL1	1.00e0	9.98e-1	2.72	0.22	0.06	0.30	0.12	0.34
SOCS4	1.00e0	9.98e-1	2.72	0.23	0.08	0.29	0.08	0.38
DUSP16	1.00e0	9.98e-1	2.72	0.22	0.10	0.35	0.07	0.39
ZNF436	1.00e0	9.98e-1	2.72	0.21	0.09	0.24	0.05	0.38
MTHFR	1.00e0	9.98e-1	2.72	0.19	0.10	0.29	0.05	0.39
PER3	1.00e0	9.98e-1	2.72	0.18	0.09	0.06	0.03	0.35
POLR3A	1.00e0	9.98e-1	2.72	0.19	0.10	0.31	0.04	0.38
EXO1	1.00e0	9.98e-1	2.72	0.18	0.10	0.29	0.03	0.35
ZNF592	1.00e0	9.98e-1	2.72	0.21	0.07	0.28	0.09	0.35
TRO	1.00e0	9.98e-1	2.72	0.27	0.08	0.38	0.16	0.40
ZNF512B	1.00e0	9.98e-1	2.72	0.19	0.08	0.29	0.07	0.36
SEC16A	1.00e0	9.98e-1	2.72	0.21	0.04	0.19	0.13	0.29
PDE7B	1.00e0	9.98e-1	2.72	0.22	0.04	0.21	0.15	0.32
ZCCHC11	1.00e0	9.98e-1	2.72	0.21	0.07	0.25	0.08	0.33
ALPK1	1.00e0	9.98e-1	2.72	0.24	0.08	0.27	0.10	0.39
INTS2	1.00e0	9.98e-1	2.72	0.20	0.10	0.32	0.03	0.35
PCNX	1.00e0	9.98e-1	2.72	0.25	0.06	0.26	0.15	0.36
CHML	1.00e0	9.98e-1	2.72	0.20	0.09	0.30	0.04	0.36
DENND4C	1.00e0	9.98e-1	2.72	0.18	0.10	0.07	0.04	0.37
PPRC1	1.00e0	9.98e-1	2.72	0.19	0.07	0.21	0.06	0.32
RIPK1	1.00e0	9.98e-1	2.72	0.24	0.07	0.21	0.11	0.38
CRYBG3	1.00e0	9.98e-1	2.72	0.17	0.09	0.03	0.00	0.35
HECTD3	1.00e0	9.98e-1	2.72	0.24	0.06	0.29	0.13	0.36
FAM198B	1.00e0	9.98e-1	2.72	0.21	0.09	0.29	0.05	0.39
TANGO6	1.00e0	9.98e-1	2.72	0.19	0.10	0.34	0.00	0.34
WDR44	1.00e0	9.98e-1	2.72	0.24	0.06	0.28	0.13	0.33
CNTN3	1.00e0	9.98e-1	2.72	0.18	0.10	0.03	0.00	0.37
IGF2R	1.00e0	9.98e-1	2.72	0.25	0.03	0.26	0.20	0.32
BCL9	1.00e0	9.98e-1	2.72	0.18	0.10	0.14	0.06	0.41
CTCF	1.00e0	9.98e-1	2.72	0.19	0.10	0.03	0.00	0.39
XPO5	1.00e0	9.98e-1	2.72	0.19	0.09	0.30	0.04	0.35
ZNF776	1.00e0	9.98e-1	2.72	0.25	0.09	0.34	0.09	0.40
MPP5	1.00e0	9.98e-1	2.72	0.25	0.06	0.29	0.13	0.37
LRIG3	1.00e0	9.98e-1	2.72	0.17	0.09	0.06	0.03	0.35
CLCN7	1.00e0	9.98e-1	2.72	0.18	0.09	0.04	0.02	0.36
FAM208B	1.00e0	9.98e-1	2.72	0.20	0.08	0.30	0.05	0.37
ZER1	1.00e0	9.98e-1	2.72	0.18	0.05	0.20	0.09	0.28
ZNF516	1.00e0	9.98e-1	2.72	0.22	0.07	0.18	0.10	0.38
MCM2	1.00e0	9.98e-1	2.72	0.21	0.08	0.30	0.06	0.36
RFX5	1.00e0	9.98e-1	2.72	0.19	0.07	0.17	0.06	0.31
DGKZP1	1.00e0	9.98e-1	2.72	0.19	0.10	0.03	0.00	0.37
LRRC58	1.00e0	9.98e-1	2.72	0.20	0.09	0.29	0.06	0.38
QTRTD1	1.00e0	9.98e-1	2.72	0.20	0.10	0.26	0.04	0.37
NUP133	1.00e0	9.98e-1	2.72	0.17	0.07	0.12	0.06	0.32
MMGT1	1.00e0	9.98e-1	2.72	0.18	0.10	0.27	0.03	0.36
C11orf30	1.00e0	9.98e-1	2.72	0.20	0.09	0.29	0.03	0.37
SUGP2	1.00e0	9.98e-1	2.72	0.20	0.04	0.20	0.13	0.29
TP53BP1	1.00e0	9.98e-1	2.72	0.15	0.07	0.06	0.02	0.30
NRDE2	1.00e0	9.98e-1	2.72	0.17	0.09	0.04	0.02	0.33
RASAL2	1.00e0	9.98e-1	2.72	0.22	0.08	0.28	0.07	0.35
SESN2	1.00e0	9.98e-1	2.72	0.18	0.10	0.07	0.03	0.35
MLLT4	1.00e0	9.98e-1	2.72	0.21	0.08	0.14	0.07	0.34
KDM3B	1.00e0	9.98e-1	2.72	0.22	0.04	0.22	0.15	0.30
UBR5	1.00e0	9.98e-1	2.72	0.30	0.03	0.29	0.24	0.36
FOXM1	1.00e0	9.98e-1	2.72	0.23	0.05	0.21	0.15	0.34
DHX38	1.00e0	9.98e-1	2.72	0.27	0.03	0.29	0.21	0.35
TARSL2	1.00e0	9.98e-1	2.72	0.21	0.09	0.29	0.05	0.37
TIMELESS	1.00e0	9.98e-1	2.72	0.20	0.09	0.27	0.02	0.36
LTBP2	1.00e0	9.98e-1	2.72	0.16	0.08	0.13	0.05	0.32
RPRD1B	1.00e0	9.98e-1	2.72	0.22	0.07	0.28	0.08	0.35
ZZEF1	1.00e0	9.98e-1	2.72	0.19	0.09	0.09	0.05	0.36
IL17RA	1.00e0	9.98e-1	2.72	0.23	0.09	0.30	0.07	0.39
CDC5L	1.00e0	9.98e-1	2.72	0.26	0.06	0.28	0.13	0.37
ERI1	1.00e0	9.98e-1	2.72	0.18	0.09	0.27	0.03	0.36
CCSER2	1.00e0	9.98e-1	2.72	0.21	0.05	0.17	0.13	0.32
ALMS1	1.00e0	9.98e-1	2.72	0.24	0.08	0.32	0.10	0.37
ASH1L	1.00e0	9.98e-1	2.72	0.19	0.10	0.04	0.00	0.36
TMEM57	1.00e0	9.98e-1	2.72	0.19	0.09	0.26	0.00	0.35
SPRED2	1.00e0	9.98e-1	2.72	0.20	0.09	0.28	0.05	0.36
ANKFY1	1.00e0	9.98e-1	2.72	0.16	0.04	0.19	0.09	0.24
ZCCHC6	1.00e0	9.98e-1	2.72	0.21	0.08	0.30	0.11	0.36
B4GALT5	1.00e0	9.98e-1	2.72	0.18	0.08	0.26	0.04	0.35
DOCK7	1.00e0	9.98e-1	2.72	0.30	0.03	0.31	0.24	0.36
CSRNP2	1.00e0	9.98e-1	2.72	0.26	0.08	0.28	0.11	0.40
TDRD7	1.00e0	9.98e-1	2.72	0.22	0.07	0.27	0.09	0.35
RRP12	1.00e0	9.98e-1	2.72	0.24	0.07	0.33	0.11	0.38
SMG1	1.00e0	9.98e-1	2.72	0.19	0.09	0.30	0.00	0.34
NUP153	1.00e0	9.98e-1	2.72	0.21	0.08	0.23	0.09	0.36
PDS5B	1.00e0	9.98e-1	2.72	0.20	0.08	0.22	0.03	0.35
C17orf51	1.00e0	9.98e-1	2.72	0.21	0.08	0.33	0.08	0.35
HEATR6	1.00e0	9.98e-1	2.72	0.20	0.09	0.03	0.00	0.34
NCOA1	1.00e0	9.98e-1	2.72	0.18	0.10	0.04	0.00	0.35
ZNF445	1.00e0	9.98e-1	2.72	0.21	0.07	0.25	0.09	0.35
ITGA2	1.00e0	9.98e-1	2.72	0.23	0.07	0.16	0.12	0.36
SLC7A11	1.00e0	9.98e-1	2.72	0.27	0.05	0.31	0.18	0.37
MCM8	1.00e0	9.98e-1	2.72	0.19	0.08	0.27	0.07	0.35
PRDM4	1.00e0	9.98e-1	2.72	0.21	0.09	0.31	0.04	0.34
ZMYM3	1.00e0	9.98e-1	2.72	0.18	0.08	0.27	0.05	0.32
RC3H1	1.00e0	9.98e-1	2.72	0.20	0.08	0.28	0.07	0.36
CAD	1.00e0	9.98e-1	2.72	0.20	0.08	0.36	0.06	0.36
CUL7	1.00e0	9.98e-1	2.72	0.30	0.05	0.30	0.22	0.41
KRAS	1.00e0	9.98e-1	2.72	0.27	0.08	0.18	0.14	0.41
CDC42BPA	1.00e0	9.98e-1	2.72	0.29	0.06	0.38	0.21	0.39
RYBP	1.00e0	9.98e-1	2.72	0.20	0.07	0.20	0.07	0.36
MCM3AP	1.00e0	9.98e-1	2.72	0.30	0.04	0.27	0.24	0.39
TRIM37	1.00e0	9.98e-1	2.72	0.24	0.07	0.24	0.13	0.37
UPF2	1.00e0	9.98e-1	2.72	0.22	0.07	0.27	0.09	0.35
WDR60	1.00e0	9.98e-1	2.72	0.20	0.08	0.29	0.05	0.33
BMPER	1.00e0	9.98e-1	2.72	0.19	0.06	0.26	0.08	0.32
ABCA2	1.00e0	9.98e-1	2.72	0.22	0.08	0.14	0.11	0.39
ARFGEF2	1.00e0	9.98e-1	2.72	0.20	0.06	0.19	0.09	0.33
CTDP1	1.00e0	9.98e-1	2.72	0.21	0.08	0.27	0.04	0.34
ADAM17	1.00e0	9.98e-1	2.72	0.25	0.07	0.33	0.13	0.38
USP19	1.00e0	9.98e-1	2.72	0.24	0.07	0.34	0.12	0.38
ANKRD52	1.00e0	9.98e-1	2.72	0.17	0.09	0.09	0.03	0.35
SRGAP1	1.00e0	9.98e-1	2.72	0.19	0.08	0.09	0.06	0.35
LNPEP	1.00e0	9.98e-1	2.72	0.20	0.08	0.12	0.07	0.37
CYFIP2	1.00e0	9.98e-1	2.72	0.20	0.07	0.30	0.07	0.32
STYX	1.00e0	9.98e-1	2.72	0.22	0.06	0.22	0.11	0.34
NAV1	1.00e0	9.98e-1	2.72	0.25	0.03	0.25	0.20	0.31
NCAPD3	1.00e0	9.98e-1	2.72	0.31	0.04	0.32	0.24	0.40
LDLR	1.00e0	9.98e-1	2.72	0.18	0.06	0.17	0.07	0.29
THSD4	1.00e0	9.98e-1	2.72	0.15	0.08	0.09	0.05	0.30
NOTCH2	1.00e0	9.98e-1	2.72	0.18	0.07	0.21	0.06	0.34
POLR1A	1.00e0	9.98e-1	2.72	0.21	0.07	0.26	0.09	0.32
PTPN14	1.00e0	9.98e-1	2.72	0.28	0.05	0.24	0.21	0.38
CHD6	1.00e0	9.98e-1	2.72	0.21	0.07	0.17	0.10	0.36
MAN1A2	1.00e0	9.98e-1	2.72	0.22	0.07	0.18	0.12	0.36
STAT5B	1.00e0	9.98e-1	2.72	0.24	0.08	0.30	0.11	0.38
AMMECR1L	1.00e0	9.98e-1	2.72	0.19	0.08	0.24	0.07	0.35
HERC1	1.00e0	9.98e-1	2.72	0.21	0.07	0.27	0.08	0.34
MED1	1.00e0	9.98e-1	2.72	0.21	0.08	0.32	0.07	0.36
KIDINS220	1.00e0	9.98e-1	2.72	0.17	0.08	0.09	0.02	0.35
SVEP1	1.00e0	9.98e-1	2.72	0.23	0.04	0.31	0.17	0.32
ZMYND8	1.00e0	9.98e-1	2.72	0.22	0.07	0.32	0.08	0.35
NCOA3	1.00e0	9.98e-1	2.72	0.20	0.08	0.28	0.05	0.37
MAML2	1.00e0	9.98e-1	2.72	0.18	0.07	0.26	0.05	0.33
PDS5A	1.00e0	9.98e-1	2.72	0.19	0.07	0.12	0.08	0.32
TUBGCP4	1.00e0	9.98e-1	2.72	0.24	0.07	0.34	0.11	0.37
PRRC2B	1.00e0	9.98e-1	2.72	0.25	0.03	0.25	0.20	0.31
FAM171B	1.00e0	9.98e-1	2.72	0.25	0.08	0.24	0.12	0.39
PHF2	1.00e0	9.98e-1	2.72	0.26	0.05	0.29	0.15	0.36
APC	1.00e0	9.98e-1	2.72	0.20	0.07	0.27	0.09	0.33
FHOD1	1.00e0	9.98e-1	2.72	0.22	0.06	0.28	0.12	0.35
UNC13B	1.00e0	9.98e-1	2.72	0.20	0.05	0.28	0.11	0.30
COL7A1	1.00e0	9.98e-1	2.72	0.23	0.04	0.25	0.15	0.32
KREMEN1	1.00e0	9.98e-1	2.72	0.25	0.07	0.32	0.13	0.38
NUP205	1.00e0	9.98e-1	2.72	0.22	0.06	0.28	0.11	0.35
FNBP1L	1.00e0	9.98e-1	2.72	0.21	0.06	0.27	0.09	0.33
WDR59	1.00e0	9.98e-1	2.72	0.19	0.07	0.19	0.08	0.35
DMXL1	1.00e0	9.98e-1	2.72	0.22	0.05	0.26	0.12	0.31
REV1	1.00e0	9.98e-1	2.72	0.20	0.09	0.27	0.04	0.35
LRRC2	1.00e0	9.98e-1	2.72	0.22	0.06	0.26	0.11	0.36
WWC3	1.00e0	9.98e-1	2.72	0.17	0.08	0.07	0.03	0.32
WDR48	1.00e0	9.98e-1	2.72	0.20	0.07	0.26	0.07	0.32
LUZP1	1.00e0	9.98e-1	2.72	0.18	0.03	0.18	0.12	0.23
GBF1	1.00e0	9.98e-1	2.72	0.25	0.03	0.25	0.20	0.34
NUMA1	1.00e0	9.98e-1	2.72	0.20	0.04	0.19	0.13	0.27
SCAF8	1.00e0	9.98e-1	2.72	0.18	0.08	0.25	0.03	0.34
CDK5RAP2	1.00e0	9.98e-1	2.72	0.17	0.07	0.19	0.04	0.30
DHX8	1.00e0	9.98e-1	2.72	0.20	0.05	0.23	0.11	0.31
UBR1	1.00e0	9.98e-1	2.72	0.21	0.07	0.26	0.09	0.35
NUP98	1.00e0	9.98e-1	2.72	0.16	0.08	0.16	0.02	0.32
STXBP1	1.00e0	9.98e-1	2.72	0.23	0.07	0.17	0.13	0.36
NF1	1.00e0	9.98e-1	2.72	0.20	0.07	0.32	0.09	0.34
OSBPL5	1.00e0	9.98e-1	2.72	0.20	0.06	0.30	0.10	0.32
EHD3	1.00e0	9.98e-1	2.72	0.19	0.06	0.17	0.08	0.33
EGFR	1.00e0	9.98e-1	2.72	0.30	0.04	0.32	0.23	0.39
SMURF1	1.00e0	9.98e-1	2.72	0.17	0.06	0.15	0.08	0.28
PHRF1	1.00e0	9.98e-1	2.72	0.22	0.06	0.31	0.13	0.36
ARID1A	1.00e0	9.98e-1	2.72	0.18	0.05	0.18	0.10	0.29
PRKD1	1.00e0	9.98e-1	2.72	0.22	0.06	0.27	0.11	0.31
CSPP1	1.00e0	9.98e-1	2.72	0.21	0.07	0.33	0.11	0.35
TCOF1	1.00e0	9.98e-1	2.72	0.23	0.08	0.18	0.12	0.40
ZNF521	1.00e0	9.98e-1	2.72	0.26	0.07	0.35	0.14	0.39
PRDM2	1.00e0	9.98e-1	2.72	0.19	0.06	0.27	0.10	0.32
CEP250	1.00e0	9.98e-1	2.72	0.17	0.07	0.14	0.02	0.29
ZFPM2	1.00e0	9.98e-1	2.72	0.21	0.04	0.20	0.14	0.30
MARCH4	1.00e0	9.98e-1	2.72	0.23	0.04	0.26	0.16	0.31
DCBLD1	1.00e0	9.98e-1	2.72	0.25	0.06	0.33	0.14	0.36
ASCC3	1.00e0	9.98e-1	2.72	0.25	0.06	0.21	0.17	0.35
NUFIP2	1.00e0	9.98e-1	2.72	0.17	0.06	0.17	0.08	0.29
CHD8	1.00e0	9.98e-1	2.72	0.22	0.04	0.19	0.15	0.30
ZFC3H1	1.00e0	9.98e-1	2.72	0.26	0.06	0.27	0.17	0.37
NPC1	1.00e0	9.98e-1	2.72	0.16	0.06	0.15	0.05	0.30
TJP2	1.00e0	9.98e-1	2.72	0.22	0.04	0.23	0.14	0.31
DIS3L	1.00e0	9.98e-1	2.72	0.27	0.07	0.39	0.16	0.39
KPNA4	1.00e0	9.98e-1	2.72	0.17	0.06	0.26	0.06	0.31
TOX	1.00e0	9.98e-1	2.72	0.18	0.09	0.06	0.00	0.34
DNAJC13	1.00e0	9.98e-1	2.72	0.24	0.04	0.27	0.16	0.32
DIAPH1	1.00e0	9.98e-1	2.72	0.25	0.04	0.27	0.17	0.34
MTR	1.00e0	9.98e-1	2.72	0.25	0.05	0.24	0.17	0.36
ZHX3	1.00e0	9.98e-1	2.72	0.22	0.05	0.20	0.14	0.33
POLG	1.00e0	9.98e-1	2.72	0.19	0.05	0.19	0.11	0.33
PLXNA1	1.00e0	9.98e-1	2.72	0.25	0.05	0.22	0.18	0.38
ATF7IP	1.00e0	9.98e-1	2.72	0.21	0.05	0.26	0.12	0.31
DHX16	1.00e0	9.98e-1	2.72	0.17	0.05	0.21	0.06	0.29
HERC2	1.00e0	9.98e-1	2.72	0.20	0.06	0.21	0.11	0.32
